,T47315_K,T48315_K,T49315_K,T50315_K,T51315_K,T52315_K,T53315_K,T54315_K,T55315_K,T56315_K,T57315_K,T58315_K,T59315_K,T60315_K,T61315_K,T62315_K,T63315_K,T64315_K,T65315_K,T66315_K,T67315_K,T68315_K,T69315_K,T70315_K,T71315_K,T72315_K,T73315_K,T74315_K,T75315_K,T76315_K,T77315_K,T78315_K,T79315_K,T80315_K,T81315_K,T82315_K,T83315_K,T84315_K,T85315_K,T86315_K,T87315_K,T88315_K
CH3CH3,1.79994909,1.783711747,1.767273594,1.750635991,1.733800274,1.716767762,1.699539749,1.682117516,1.664502323,1.646695417,1.628698026,1.610511365,1.592136636,1.573575026,1.554827707,1.535895841,1.516780575,1.497483044,1.478004371,1.458345668,1.438508033,1.418492553,1.398300306,1.377932357,1.357389758,1.336673554,1.315784777,1.294724449,1.273493583,1.252093179,1.230524229,1.208787716,1.186884612,1.16481588,1.142582472,1.120185335,1.097625403,1.074903603,1.052020852,1.028978061,1.00577613,0.982415952
CH3CH2,2.044126601,2.033355754,2.022405334,2.011276437,1.999970156,1.988487584,1.976829813,1.964997931,1.952993025,1.940816178,1.928468467,1.915950967,1.903264747,1.89041087,1.877390393,1.864204366,1.850853833,1.83733983,1.823663387,1.809825523,1.795827251,1.781669577,1.767353495,1.752879994,1.738250053,1.723464641,1.708524721,1.693431244,1.678185154,1.662787386,1.647238866,1.631540511,1.61569323,1.599697923,1.58355548,1.567266785,1.550832711,1.534254124,1.517531882,1.500666833,1.48365982,1.466511674
CH3CH,2.39482809,2.38637763,2.37776442,2.368989583,2.360054237,2.350959499,2.34170648,2.332296288,2.322730027,2.313008793,2.303133676,2.29310576,2.282926119,2.27259582,2.262115924,2.251487478,2.240711523,2.229789091,2.218721202,2.207508867,2.196153087,2.184654854,2.173015146,2.161234935,2.149315179,2.137256828,2.125060821,2.112728085,2.10025954,2.087656092,2.07491864,2.06204807,2.049045261,2.03591108,2.022646386,2.009252025,1.995728838,1.982077653,1.968299291,1.954394562,1.940364269,1.926209206
CH3C,1.882181526,1.874598104,1.866872861,1.859006911,1.851001359,1.842857299,1.834575816,1.826157984,1.817604868,1.808917521,1.800096987,1.791144297,1.782060473,1.772846524,1.76350345,1.754032236,1.74443386,1.734709285,1.724859465,1.71488534,1.704787841,1.694567887,1.684226383,1.673764227,1.663182303,1.652481483,1.641662632,1.6307266,1.619674228,1.608506346,1.597223774,1.585827322,1.574317788,1.562695962,1.550962623,1.53911854,1.527164473,1.515101172,1.50292938,1.490649827,1.478263237,1.465770324
CH2CH2,2.135675152,2.128001569,2.120167318,2.112173349,2.104020628,2.095710132,2.087242849,2.078619777,2.069841917,2.060910278,2.051825869,2.042589702,2.03320279,2.023666142,2.013980765,2.004147666,1.994167845,1.984042296,1.97377201,1.96335797,1.952801152,1.942102526,1.931263053,1.920283686,1.909165371,1.897909044,1.886515632,1.874986054,1.86332122,1.851522031,1.839589376,1.827524139,1.815327193,1.8029994,1.790541615,1.777954684,1.765239442,1.752396716,1.739427325,1.726332077,1.713111772,1.699767204
CH2CH,2.509769574,2.503981847,2.498049139,2.491972457,2.485752823,2.479391269,2.472888836,2.466246567,2.45946551,2.452546715,2.44549123,2.4383001,2.430974369,2.423515074,2.415923248,2.408199915,2.400346095,2.392362796,2.38425102,2.376011759,2.367645995,2.359154699,2.350538834,2.341799351,2.332937189,2.32395328,2.31484854,2.305623878,2.29628019,2.286818362,2.277239268,2.267543771,2.257732725,2.24780697,2.237767339,2.227614651,2.217349717,2.206973336,2.196486299,2.185889383,2.175183359,2.164368987
CH2C,2.601657398,2.596457584,2.591134624,2.585689547,2.580123382,2.574437156,2.568631892,2.562708609,2.556668319,2.550512029,2.544240737,2.537855434,2.5313571,2.524746707,2.518025218,2.511193583,2.504252743,2.497203628,2.490047156,2.482784235,2.475415759,2.467942613,2.460365669,2.452685788,2.444903818,2.437020598,2.429036952,2.420953696,2.412771631,2.404491551,2.396114235,2.387640453,2.379070964,2.370406514,2.361647843,2.352795676,2.34385073,2.334813712,2.325685318,2.316466235,2.30715714,2.297758702
CHCH,2.810802553,2.805733966,2.800540821,2.795224128,2.789784899,2.784224149,2.778542898,2.772742162,2.766822956,2.760786291,2.754633174,2.748364607,2.741981581,2.735485085,2.728876096,2.722155581,2.715324501,2.708383804,2.701334428,2.694177301,2.686913339,2.679543448,2.672068521,2.664489441,2.656807078,2.649022292,2.64113593,2.633148828,2.62506181,2.616875689,2.608591268,2.600209335,2.591730671,2.583156043,2.574486209,2.565721914,2.556863895,2.547912878,2.538869577,2.529734697,2.520508933,2.511192972
CHC,3.735621393,3.730188985,3.724646845,3.718996324,3.713238741,3.707375394,3.701407554,3.695336464,3.689163346,3.682889396,3.676515786,3.670043663,3.663474152,3.656808355,3.650047352,3.6431922,3.636243935,3.629203572,3.622072106,3.614850511,3.607539742,3.600140736,3.59265441,3.585081662,3.577423374,3.56968041,3.561853618,3.553943828,3.545951856,3.5378785,3.529724545,3.52149076,3.5131779,3.504786705,3.496317904,3.48777221,3.479150324,3.470452934,3.461680716,3.452834334,3.443914441,3.434921677
CC,4.866247741,4.861944099,4.857553954,4.853078507,4.848518931,4.843876372,4.83915195,4.83434676,4.829461871,4.824498328,4.819457154,4.814339348,4.809145885,4.803877722,4.798535793,4.793121011,4.787634271,4.782076447,4.776448396,4.770750955,4.764984945,4.759151168,4.753250411,4.747283445,4.741251022,4.735153883,4.72899275,4.722768334,4.71648133,4.710132418,4.703722268,4.697251534,4.690720859,4.684130872,4.677482191,4.670775423,4.664011162,4.657189992,4.650312485,4.643379204,4.636390701,4.629347517
